p1,p2,GRM_Value,cross
OKAY,OKAY,1.39255772464616,OKAY X OKAY
OKAY,PA7617-3658,-0.0939445940511258,OKAY X PA7617-3658
OKAY,PA7617-3460,0.0443242084266985,OKAY X PA7617-3460
OKAY,NORA,0.101375970236179,OKAY X NORA
OKAY,NF18,0.00452271172377904,OKAY X NF18
OKAY,NF99414,0.509628138176754,OKAY X NF99414
OKAY,AURORA,0.260454557408871,OKAY X AURORA
OKAY,FLLA17069-52,-0.0442383514699621,OKAY X FLLA17069-52
OKAY,NF13-4126-4_3,0.108779020182707,OKAY X NF13-4126-4_3
OKAY,NF12AS-122-4_3,-0.0512740792749084,OKAY X NF12AS-122-4_3
OKAY,NF401_1,-0.004712821105449,OKAY X NF401_1
OKAY,TX19CAS0058,-0.0181700144847216,OKAY X TX19CAS0058
OKAY,NF05424_2,0.820314001645304,OKAY X NF05424_2
OKAY,NF12AS-108-4_1,0.00316036938343779,OKAY X NF12AS-108-4_1
OKAY,LA17129SBSS-8-1,0.0672302638235903,OKAY X LA17129SBSS-8-1
OKAY,Clav 6982,-0.0687688841564633,OKAY X Clav 6982
OKAY,NF97405B2,0.247758174736762,OKAY X NF97405B2
OKAY,NF12AS-91-4_1,0.337845324083901,OKAY X NF12AS-91-4_1
OKAY,NF12AS-107-4_4,0.121894748337176,OKAY X NF12AS-107-4_4
OKAY,FLLA17088-77,0.0448107422052933,OKAY X FLLA17088-77
OKAY,FLLA11019-8,0.164016261791492,OKAY X FLLA11019-8
OKAY,LA17153SBSS-46-1,-0.165018492793699,OKAY X LA17153SBSS-46-1
OKAY,SCLA17031SBSS-4-1,0.00297553138058711,OKAY X SCLA17031SBSS-4-1
OKAY,NF12AS-122-4_4,-0.0678192804281115,OKAY X NF12AS-122-4_4
OKAY,NF13-4173-4_5,0.0900967843210954,OKAY X NF13-4173-4_5
OKAY,Clav 7618,-0.0951453960253374,OKAY X Clav 7618
OKAY,NF13-4173-4_6,0.0611882258046836,OKAY X NF13-4173-4_6
OKAY,NF502_5,0.0779702889340677,OKAY X NF502_5
OKAY,FLLA17069-54,0.0411006338505362,OKAY X FLLA17069-54
OKAY,LA17153SBSS-55-1,-0.15483758356229,OKAY X LA17153SBSS-55-1
OKAY,TX19CAS0057,0.00318222355021868,OKAY X TX19CAS0057
OKAY,FLLA17069-65,-0.0588161991858955,OKAY X FLLA17069-65
OKAY,NF13-4157-4_2,0.184924147721664,OKAY X NF13-4157-4_2
OKAY,NF12AS-73-4_3,0.289762905387393,OKAY X NF12AS-73-4_3
OKAY,NF00407,-0.0234601229195362,OKAY X NF00407
OKAY,NF12AS-108-4_4,0.000584041109732282,OKAY X NF12AS-108-4_4
OKAY,FLLA17069-53,0.069035649255369,OKAY X FLLA17069-53
OKAY,LA17089SBS-45-1-1,-0.0171735461851502,OKAY X LA17089SBS-45-1-1
OKAY,NF13-4083-4_6,0.124219842328776,OKAY X NF13-4083-4_6
OKAY,NF13-4124-4_8,-0.042396512751699,OKAY X NF13-4124-4_8
OKAY,SCLA17080SBS-4-2,-0.0395377144176642,OKAY X SCLA17080SBS-4-2
OKAY,SCLA17018SBSS-45-1,-0.0258287261272399,OKAY X SCLA17018SBSS-45-1
OKAY,LA17075SBSS-29-1,0.190116165778829,OKAY X LA17075SBSS-29-1
OKAY,NF13-4214-4_5,0.0446439213297851,OKAY X NF13-4214-4_5
OKAY,NF13-4173-4_4,-0.0468304363012556,OKAY X NF13-4173-4_4
OKAY,NF13-4214-4_1,-0.0213534840996495,OKAY X NF13-4214-4_1
OKAY,NF12AS-100-4_2,-0.0112864251398137,OKAY X NF12AS-100-4_2
OKAY,NF01404A,0.10385163607707,OKAY X NF01404A
OKAY,LA08039SBSBS-56-A1,0.100506469616826,OKAY X LA08039SBSBS-56-A1
OKAY,Clav 4476,-0.12954465973548,OKAY X Clav 4476
