,OKAY,PA7617-3658,PA7617-3460,NORA,NF18,NF99414,AURORA,FLLA17069-52,NF13-4126-4_3,NF12AS-122-4_3,NF401_1,TX19CAS0058,NF05424_2,NF12AS-108-4_1,LA17129SBSS-8-1,Clav 6982,NF97405B2,NF12AS-91-4_1,NF12AS-107-4_4,FLLA17088-77,FLLA11019-8,LA17153SBSS-46-1,SCLA17031SBSS-4-1,NF12AS-122-4_4,NF13-4173-4_5,Clav 7618,NF13-4173-4_6,NF502_5,FLLA17069-54,LA17153SBSS-55-1,TX19CAS0057,FLLA17069-65,NF13-4157-4_2,NF12AS-73-4_3,NF00407,NF12AS-108-4_4,FLLA17069-53,LA17089SBS-45-1-1,NF13-4083-4_6,NF13-4124-4_8,SCLA17080SBS-4-2,SCLA17018SBSS-45-1,LA17075SBSS-29-1,NF13-4214-4_5,NF13-4173-4_4,NF13-4214-4_1,NF12AS-100-4_2,NF01404A,LA08039SBSBS-56-A1,Clav 4476,NF01401B,FLLA17088-61,NF13-4153-4_2,NF13-4124-4_3,LA17069SBSS-2-1,FLLA16083-25,NC21-6429,NC17-6440,Gerard 227,NC18-5877N,NC20-4795,NC20-4700,NC20-4402,NC20-4452,NC21-6475,NC20-4551,NC20-4526,NC21-6492,NC21-6497,NC21-6502,NC21-6505,NC21-6511,NC19-3542,NC20-4702,NC21-6576,Horizon 578,NC21-6609,NC21-6610,GERARD224,NC09-4503N,NF12AS-107-4_2-1,NF97405-1,NF99401_1-1,NF99414-1,HARRISON,HORIZON201,OZARK|POGI,Juggernaut,LA99016,Savage,LA15015SB-S50,TX18OCS9100,TX18OCS9104,TX18OCS9125
OKAY,1.39255772464616,-0.0939445940511258,0.0443242084266985,0.101375970236179,0.00452271172377904,0.509628138176754,0.260454557408871,-0.0442383514699621,0.108779020182707,-0.0512740792749084,-0.004712821105449,-0.0181700144847216,0.820314001645304,0.00316036938343779,0.0672302638235903,-0.0687688841564633,0.247758174736762,0.337845324083901,0.121894748337176,0.0448107422052933,0.164016261791492,-0.165018492793699,0.00297553138058711,-0.0678192804281115,0.0900967843210954,-0.0951453960253374,0.0611882258046836,0.0779702889340677,0.0411006338505362,-0.15483758356229,0.00318222355021868,-0.0588161991858955,0.184924147721664,0.289762905387393,-0.0234601229195362,0.000584041109732282,0.069035649255369,-0.0171735461851502,0.124219842328776,-0.042396512751699,-0.0395377144176642,-0.0258287261272399,0.190116165778829,0.0446439213297851,-0.0468304363012556,-0.0213534840996495,-0.0112864251398137,0.10385163607707,0.100506469616826,-0.12954465973548,0.308581047651484,-0.00218144176521203,-0.0286046588594276,-0.0553327150317348,0.0259200204665488,0.0947321348225271,-0.155016493949362,-0.0644748689974805,-0.186832997395695,-0.193653102864686,-0.173060930157349,-0.131793575179852,-0.217998248757003,-0.0935643123559076,-0.157999230764327,-0.149622199928652,-0.221941610656002,-0.286194417904383,-0.290746711188389,-0.24011193435265,-0.294697424639283,-0.192977642124333,-0.104942963170357,-0.204090378534824,-0.127814683878248,-0.281294558996362,-0.152032330563622,-0.157610616957893,-0.233050604975385,-0.170483554287895,-0.189791393686313,0.0568968073909732,0.290302183860763,0.080692221768336,0.882006800175085,-0.214302661927671,-0.152079782909089,-0.218950511797612,-0.113487415578662,-0.139794430785999,-0.151001747338635,-0.181424355970542,-0.0928323726168583,-0.237295538278152
PA7617-3658,-0.0939445940511258,2.0438095413173,1.0268866304282,0.0449285083318301,-0.104825262453306,-0.0116428591593379,0.276021519732367,-0.0524810636753446,0.334598788318904,0.356889924550495,0.221857600638254,-0.0477241972366002,0.266239187958077,-0.106188275898249,0.136555721446986,0.754580477776227,0.198836826780228,0.208408368774446,-0.184385409940244,-0.158830511650288,0.0445137023723482,-0.042697461563538,-0.105424248012442,0.525726704390327,0.0799827973135658,0.796944099505069,0.267472386404772,0.410427285715085,-0.043813630834975,-0.0553807111880389,-0.0541571094702271,0.00455734494517337,0.0307174226695852,0.204228018066661,-0.0363031998153812,-0.107708063391151,-0.0226645924837766,-0.0655372720152857,0.156152078613405,0.292083679439382,-0.0217070955984328,-0.0282789247803824,-0.101247660568415,0.136906605283261,0.13504591763442,0.111484843404817,-0.0755141770350124,0.315177349854098,0.0169182630242614,0.518889479406372,0.0575258232835935,-0.157884025802859,0.0225290115302647,0.325081247078912,-0.0323542806723142,-0.076793595314828,-0.344339974654644,0.0822754685713,-0.262584715865888,-0.399301149472782,-0.27770852644858,-0.304778179307855,-0.341684219952558,-0.258907883701625,-0.163454394465482,-0.145417689872083,-0.19612842530617,-0.322837377331411,-0.312778950737412,-0.308482520437582,-0.205841133373572,-0.15763291563727,-0.11926069241238,-0.121287938978291,-0.280958944709775,-0.291644518174637,-0.047764519896822,-0.0495298392496682,-0.330838563536077,-0.0564702614706509,-0.295480553669307,-0.0328238057657595,-0.0928066844960836,-0.238715125249069,-0.346998900486973,-0.406808955737089,-0.139931034938096,-0.258630181085063,-0.299048467510668,-0.241601866525712,-0.341214448042795,-0.261154729813553,-0.27915031128241,-0.244405789442354
PA7617-3460,0.0443242084266985,1.0268866304282,1.87689900895537,0.0288572608322109,-0.110919493287788,-0.0610104624218502,0.168450837537219,0.039603097442602,0.341092891912154,0.302356626516476,0.0998627720885237,0.0513128890579409,0.288405665956161,-0.11228250673273,0.207384158824736,0.577142035979906,0.268074226356936,0.0647210644471241,-0.0235484017184346,0.0120111369439799,0.059564648619698,-0.0649012689729598,-0.111372950753077,0.46516848424547,-0.0853817543359971,0.593914882216012,0.141605708576902,0.334445302143051,-0.0301082268097059,-0.0890729320134857,-0.00738850200561795,0.154961736208113,0.0594450543851542,0.252755283005352,-0.0301251639337576,-0.111616379235263,-0.0416040249556929,0.1574772538171,0.115064557374604,0.116271991317987,0.00795486833081661,0.207232724774627,0.0707048205863591,0.0725895755618398,0.176416009308894,0.0540131809694796,-0.130906932978067,0.224419395502586,0.0535972635704109,0.358129248705067,0.085843971629722,-0.0919714888798746,-0.0386281710128702,0.251066281282731,-0.0436115525599648,0.0304106861316668,-0.300453981200787,0.0211846856464154,-0.327254738200492,-0.355556026291543,-0.17416101235726,-0.313563962098811,-0.39275503807938,-0.27972692261636,-0.0846239918399076,-0.232677315284493,-0.329621691792387,-0.278328250241363,-0.271146426107748,-0.320404093168705,-0.240223355095716,-0.235999387658601,-0.24595921820152,-0.21242633301014,-0.292309621904282,-0.267632866936901,-0.0380538533391501,-0.0610927693122716,-0.365029843981376,-0.0248620096509896,-0.302548788644015,0.0248211301846103,-0.132027445827369,-0.164355509351015,-0.208146014143986,-0.343989847297892,-0.160864666656245,-0.142485325659426,-0.254657589266165,-0.232331511136251,-0.264404549287334,-0.252467050993495,-0.238297423167459,-0.115509702739034
NORA,0.101375970236179,0.0449285083318301,0.0288572608322109,0.75055133493922,0.0209312922480652,0.369050034090857,0.138989852108741,0.0407700149005524,0.0866842366991979,-0.0313790648691967,0.119505647874582,0.0342932073500655,0.193693503500454,0.0220281287819106,-0.132899235258651,0.00984601910375315,0.117259258463092,0.00823419030330929,0.0031427183812955,0.0304661362651475,-0.00371961644309039,0.02437920595636,0.0204124046691892,-0.0484867530610547,0.104214990600302,0.0117859911070461,0.122652859694078,0.138206766252419,0.0311509602749352,0.0420237508658877,0.0769441930827243,-0.0663177506115923,0.048107766702473,0.155589784541561,0.0312339969920845,0.0205261459925066,-0.0337979394752578,0.259794989583202,0.158904307509862,0.165124577388048,0.0702874424673517,-0.113046381014214,0.016500591925853,0.0375290675708573,0.174736416191337,0.0627520213118645,0.0323207453391927,0.0525246631856327,0.120358733160275,0.0769266299425539,0.0457462227069394,0.0458722980580408,0.0502674553353303,0.132862856909864,-0.0819660898313868,0.0456188771192215,-0.182053504788318,-0.130066351812359,-0.0704939644341055,-0.109782272366612,-0.132176521155531,-0.130349110724386,-0.139316741347144,-0.143297954998018,-0.212997570885679,-0.102495672599488,-0.103466420489593,-0.15947449802662,-0.162678965831205,-0.104961331618488,-0.141548036650327,-0.153219880999477,-0.0674756464359298,-0.111385195664423,-0.0615702356568184,-0.164293911135321,-0.158677296829813,-0.160479758651833,-0.124994065574936,-0.0740450379766054,-0.170395737182826,-0.0974057743783695,0.226643695572508,0.102298463483938,-0.089415330094157,-0.140126480648544,0.478150752978311,-0.221512350663439,-0.109435893778972,-0.153086521894093,-0.164842672514425,-0.262383487860405,-0.13657739360718,-0.211207212614913
NF18,0.00452271172377904,-0.104825262453306,-0.110919493287788,0.0209312922480652,1.15199134159376,0.0591011099826889,0.0237891786388152,0.10184775728231,0.00485000212577007,0.227825344994859,0.0993609245454663,-0.0977203098950326,-0.0341089016295524,1.15062899925342,-0.12392068246441,-0.181145704176808,-0.0308639867864624,0.128255159908753,-0.0899094563961849,0.0295859762575566,-0.0894138774231671,-0.273215794727656,1.15139265095612,0.17300877099797,0.469488729596738,-0.0733562452477357,-0.0270104189390465,0.0343132945954573,-0.0387849027258867,-0.204190780904814,-0.128576381938156,-0.04322972687314,0.59869270681403,-0.0547917135972315,0.110936262293584,1.14802357712517,-0.104122383192541,-0.118701940195008,0.0554066013075546,0.099955936468734,-0.171169158342793,-0.0860391172473163,0.209890636676908,0.55784405329067,0.0264857254598805,0.578736903976313,1.1132411802496,-0.0693090579975934,0.0327039688923602,-0.0830675806587615,0.00567694354050945,0.000737179068748621,0.646788129343288,0.0424064388177205,-0.215087239042893,-0.117835988414606,-0.207198681395002,-0.224847549622377,-0.244245082143619,-0.195563385987466,-0.218316115866621,-0.262822044469215,-0.190916045229221,-0.0985369881660995,-0.264724308123143,-0.166278138729701,-0.199749343828682,-0.17697010193215,-0.182971913729959,-0.202318787540413,-0.283094344528024,-0.279709005914142,-0.207306898881011,-0.160255911344824,-0.224914581034832,-0.205676666671922,-0.126623614538547,-0.118962553588696,-0.214600859688555,-0.294198177692305,0.851605761517705,-0.244792741938053,-0.254130169047506,-0.32111329529685,-0.169515861354858,-0.151706215434619,-0.28919450058676,-0.368877093856795,-0.253785005195446,-0.217795374420019,-0.32101599794655,-0.372215430016044,-0.257088642899158,-0.20860057992703
NF99414,0.509628138176754,-0.0116428591593379,-0.0610104624218502,0.369050034090857,0.0591011099826889,1.51678123436948,-0.116576670091055,0.0343782942051314,-0.0484532001162115,-0.00828939936705855,-0.090984162388736,-0.0728841902896345,0.248997010818665,0.0577387676423477,-0.0411056997908596,0.0139816574856097,0.118709745846983,0.148782113094971,0.0932506508801728,0.0311114227320506,0.0837872040533208,-0.169560868322907,0.057527070191535,-0.016133227730465,0.171453123101795,0.0299696369665769,0.241675701486178,0.0555864232680079,0.0149482279100167,-0.155563458606248,-0.00595804782253554,-0.099061767441006,0.184726692827644,0.130433263888238,0.0262601065568228,0.0561491988476849,0.0990436472518795,0.156505528434986,0.0688220465975444,0.157142032399088,-0.149204315542505,-0.0902291806294585,0.0890173164173766,0.0453563379315909,0.0621540442987206,-0.0125837155584931,0.0726085964061053,0.197560799684836,0.0153685344347175,-0.0399418299685785,0.128874715977149,0.0378949046598651,-0.00952209412345822,-0.00476908863301849,-0.0180430448499427,0.085532170126712,-0.102916255536822,-0.114899357506806,-0.15985647176504,-0.101210782191807,-0.174901949429456,-0.157199285642747,-0.13133099358458,-0.148198142859233,-0.139389346506959,-0.160815257432443,-0.221998784202454,-0.171442874466573,-0.174268147574379,-0.191070273805727,-0.259722052794576,-0.170311237809859,-0.149327586911905,-0.180193838416198,-0.106063403660628,-0.170125851998274,-0.176743714510951,-0.190145498723581,-0.137857042966175,-0.229226386081208,-0.164077539456143,-0.113651922681516,0.391351304990743,0.288515794096192,0.314356628352017,-0.158219400318664,0.394253240207429,-0.3666936513169,-0.143974148825876,-0.259018521482447,-0.155242883663812,-0.114350817193204,-0.112108214660615,-0.213432672320608
AURORA,0.260454557408871,0.276021519732367,0.168450837537219,0.138989852108741,0.0237891786388152,-0.116576670091055,1.51099649412757,-0.0198694019818576,0.205900825444323,0.199740724731711,0.774854287820416,0.0266272872716206,0.547527930890991,0.022426836298474,0.0459935518586104,0.170191062236436,0.208602124212579,0.265694818823039,-0.0765866587265319,-0.0701582996537753,-0.0730704464983613,0.000596990768205195,0.0254111465760614,0.192324655913057,0.0215966086365371,0.145701338277086,0.154282079862543,0.497064800961655,0.0177479605728501,-0.0547390071294305,-0.0097689378551668,-0.0453484728680576,0.0805813100524079,0.238452554332125,0.2022215765944,0.019913255862012,-0.0282385376270625,-0.047692121017488,0.185530689901461,0.172223235081126,-0.0602731677041991,-0.165053329575527,-0.0824567582711128,0.32921553945601,0.0921047434507022,0.33213710692035,0.0377856060045697,0.157492319027489,0.17303782357553,0.118926769604517,0.3709001760494,-0.00481012749744577,0.225576985909283,0.166937380441076,-0.134696364739844,0.0892788400902365,-0.295888770070875,-0.113184687254264,-0.294294523016919,-0.23822393463087,-0.319498353989035,-0.18035754342411,-0.251297688597353,-0.242088095525587,-0.317220326645552,-0.235977501715542,-0.24844036567748,-0.260659252417301,-0.259110101649706,-0.209636300416489,-0.169585807774005,-0.154027941777787,-0.215949824577052,-0.2149730045321,-0.306908257078061,-0.266469346503954,-0.206787176159763,-0.198579381468763,-0.291744985679641,-0.115269972819727,-0.171100003472883,0.036065908790796,-0.0698962593923748,-0.195587132753456,-0.180896054642819,-0.196873636641513,-0.042057346209083,-0.134392507312703,-0.219024672945858,-0.109669877890154,-0.336263484046432,-0.272499425134454,-0.216488997370314,-0.328342112190886
FLLA17069-52,-0.0442383514699621,-0.0524810636753446,0.039603097442602,0.0407700149005524,0.10184775728231,0.0343782942051314,-0.0198694019818576,2.19637396986452,-0.0887053874835033,0.0186736025574471,0.0517810250520876,0.388828044190119,-0.0791366749596905,0.100485414941969,0.250432191268844,0.248806885093897,-0.0445720615969077,0.0173390859874122,0.164267881843447,0.157975339660135,0.105547320796378,-0.189315842613466,0.100214987379589,0.035549226931319,0.09781682519652,-0.00649057961176148,-0.232283750016183,-0.120537809406875,0.20328371820846,-0.175348650719511,0.377770182815019,0.325640224191718,0.083654180182471,-0.0675749692458284,0.175298418262319,0.110554599437677,0.357373545258351,0.403519725537723,-0.0970835315030385,-0.175135674682955,-0.0232763624076158,0.400989170450785,0.473908222696259,-0.0617822682703541,-0.127249729598475,-0.0015490396357769,0.111579332846659,-0.00274196397631096,-0.0737040692736244,0.104303264452451,-0.0159419156317637,0.118723401922793,0.157414843724819,-0.0672410542109218,0.10203988818296,0.236032360926361,-0.114527905286993,-0.0388978818524136,-0.267473380705187,-0.173766055968607,-0.078734560745782,-0.26780936995969,-0.196699826262414,-0.258814682859219,-0.298422473858336,-0.278042037968313,-0.174075119252158,-0.288184061389016,-0.289293107590646,-0.0757776765564752,-0.100302561243674,-0.116604568359927,-0.10130292277379,-0.253996945955862,-0.252872383377395,-0.28626915194115,-0.197771870809621,-0.185999843993968,-0.255124146310816,-0.228394900166746,-0.129240793105081,-0.257124359953307,-0.32724697084416,-0.308655256719809,-0.266120865850321,-0.0792672175362647,-0.257364136706268,-0.173385898632075,-0.187678596241363,0.0498723410196188,0.192398717464788,-0.124831176494253,-0.0360452867506394,0.438693516793296
NF13-4126-4_3,0.108779020182707,0.334598788318904,0.341092891912154,0.0866842366991979,0.00485000212577007,-0.0484532001162115,0.205900825444323,-0.0887053874835033,1.65284666865851,0.150121814789199,0.296980547725715,-0.0706512297165811,0.226160227382985,0.00348765978542882,0.0816328709244412,0.131414166243459,0.865964920502895,-0.136914997851138,-0.21405904450986,-0.0963250999038664,-0.109197911139435,0.179703311697502,0.00648129052389864,0.0566888152900767,-0.00706469917311981,0.168099536088547,0.173820800847645,0.128462962425254,-0.0540671575903924,0.174987697908153,-0.0821139202843049,0.0789351592991862,0.284206746554045,0.417968966592994,-0.00488503184556948,0.00301063766385873,-0.0073146364151699,0.0205684117149165,0.292405908391519,0.118796930674641,-0.0714670581375113,-0.0916779273022087,-0.0111034856552515,0.1106230867166,0.146429395837696,0.179738875410842,-0.0121937951606262,0.370325015282684,0.290869213893736,0.219835320121006,-0.033091988838153,0.0160245179594714,-0.0296465862112861,0.130077610100803,0.0962784138371312,0.00389950217016922,-0.248750002528427,-0.137318074753825,-0.261979105557389,-0.319372208765313,-0.239200719787764,-0.315841462057358,-0.335715929995426,-0.285470791912402,-0.229955520276962,-0.0767500606908392,-0.145221262945883,-0.339831878229145,-0.341397636628777,-0.226284308386348,-0.16300495581316,-0.180964848925996,-0.203263377584983,-0.201047461987269,-0.268174057500144,-0.336341900125254,-0.0443043411776841,-0.0489745149388275,-0.27377562950863,0.0888637321549101,-0.212882968835712,0.626261884447866,-0.0917918954685296,-0.179518198893246,-0.0934948222085041,-0.244964041946249,-0.10225527895855,-0.182018663989983,-0.18373580946181,-0.200389057077619,-0.336303929433699,-0.165497935698267,-0.249005948388886,-0.362355126516292
NF12AS-122-4_3,-0.0512740792749084,0.356889924550495,0.302356626516476,-0.0313790648691967,0.227825344994859,-0.00828939936705855,0.199740724731711,0.0186736025574471,0.150121814789199,1.51171850171098,0.13446968521766,-0.0281458147357952,0.101968473528058,0.23137812011771,-0.102725354834547,0.175362552728186,0.234365171420276,0.289295204028419,-0.0733087567709102,-0.00181898603513669,-0.0835970555994267,-0.247652670704793,0.228309767505576,1.34450348845314,0.104475548066701,0.30410242406054,0.305756426114419,0.641132429601514,-0.0342533762674825,-0.223915718966941,-0.00919554436565463,-0.0790904705593336,0.227116819369762,0.230732151810438,0.0428663232346572,0.22984755761828,-0.1100108050079,-0.102819053880208,0.014697910484232,0.2105602283058,-0.211017800890242,-0.108408077048915,0.0391536814501496,0.250162432092536,0.401127155931657,0.18408548035398,0.246358773837666,0.0102526109072525,0.0469816387247369,0.112471645087027,0.148871347206146,-0.0906047112542429,0.241597052979684,0.387595922624486,-0.0710292312285419,-0.0810097111369601,-0.296099779364828,-0.0357515923228165,-0.292983586101456,-0.235970401405271,-0.139539774613779,-0.192364227333896,-0.281985829393132,-0.263952863578837,-0.221253183683571,-0.267713356701645,-0.265790452330982,-0.290871084880416,-0.291176751664537,-0.266753129115001,-0.236516969420695,-0.241209325953516,-0.198052504971084,-0.225984707025634,-0.310650010717542,-0.264409986634391,-0.0459898844143419,-0.0340671626573573,-0.288181242435914,-0.223930616407351,0.0317417227761578,0.00645880201713245,-0.264711736658645,-0.308259639593797,-0.25153697799227,-0.230783351653661,-0.189144923459277,-0.361297275588218,-0.236811818210885,-0.206678252239669,-0.290964265016488,-0.245183597628045,-0.0861642877694295,-0.241316262733452
