"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","intercropGermplasmDbId","intercropGermplasmName","germplasmEntryNumber","Freeze damage severity - 0-9 Rating|CO_350:0005001","Grain yield - g/m2|CO_350:0000260","notes"
"2007","4388","Uniform Winter Oat Yield Nursery","The Uniform Winter Oat Yield Nursery","3314","UWOYT_2007_Kinston","Uniform Winter Oat Yield Trial, , Very wet fall. Mild winter through mid-January then extended cold period. Freeze at early heading did not seem to impact oats as much as it did wheat. Overall, a very nice looking experiment. Grain yield was originally r","CRD","","","","no","no","2006-October-25","2007-June-02","85","Kinston, NC","88859","FL0048-H23","","plot","325836","UWOYT_2007_Kinston_FL0048-H23_3","1","1","1003","","","test","","","","","2.5","835.37363372093",""
"2007","4388","Uniform Winter Oat Yield Nursery","The Uniform Winter Oat Yield Nursery","3314","UWOYT_2007_Kinston","Uniform Winter Oat Yield Trial, , Very wet fall. Mild winter through mid-January then extended cold period. Freeze at early heading did not seem to impact oats as much as it did wheat. Overall, a very nice looking experiment. Grain yield was originally r","CRD","","","","no","no","2006-October-25","2007-June-02","85","Kinston, NC","86038","FL0105-H3","","plot","325818","UWOYT_2007_Kinston_FL0105-H3_4","1","1","1004","","","test","","","","","4.5","681.12491162791",""
"2007","4388","Uniform Winter Oat Yield Nursery","The Uniform Winter Oat Yield Nursery","3314","UWOYT_2007_Kinston","Uniform Winter Oat Yield Trial, , Very wet fall. Mild winter through mid-January then extended cold period. Freeze at early heading did not seem to impact oats as much as it did wheat. Overall, a very nice looking experiment. Grain yield was originally r","CRD","","","","no","no","2006-October-25","2007-June-02","85","Kinston, NC","89734","FL99106-H4","","plot","325832","UWOYT_2007_Kinston_FL99106-H4_5","1","1","1005","","","test","","","","","6","656.05765569767",""
"2007","4388","Uniform Winter Oat Yield Nursery","The Uniform Winter Oat Yield Nursery","3314","UWOYT_2007_Kinston","Uniform Winter Oat Yield Trial, , Very wet fall. Mild winter through mid-January then extended cold period. Freeze at early heading did not seem to impact oats as much as it did wheat. Overall, a very nice looking experiment. Grain yield was originally r","CRD","","","","no","no","2006-October-25","2007-June-02","85","Kinston, NC","88115","FL99153FBS-45-1-B-S-B","","plot","325828","UWOYT_2007_Kinston_FL99153FBS-45-1-B-S-B_2","1","1","1002","","","test","","","","","2.5","779.11637162791",""
"2007","4388","Uniform Winter Oat Yield Nursery","The Uniform Winter Oat Yield Nursery","3314","UWOYT_2007_Kinston","Uniform Winter Oat Yield Trial, , Very wet fall. Mild winter through mid-January then extended cold period. Freeze at early heading did not seem to impact oats as much as it did wheat. Overall, a very nice looking experiment. Grain yield was originally r","CRD","","","","no","no","2006-October-25","2007-June-02","85","Kinston, NC","100459","FL99212-D6","","plot","325825","UWOYT_2007_Kinston_FL99212-D6_16","1","1","1016","","","test","","","","","3","823.57756639535",""
"2007","4388","Uniform Winter Oat Yield Nursery","The Uniform Winter Oat Yield Nursery","3314","UWOYT_2007_Kinston","Uniform Winter Oat Yield Trial, , Very wet fall. Mild winter through mid-January then extended cold period. Freeze at early heading did not seem to impact oats as much as it did wheat. Overall, a very nice looking experiment. Grain yield was originally r","CRD","","","","no","no","2006-October-25","2007-June-02","85","Kinston, NC","99967","HARRISON","Coker 87-9,Harrison,HH539:C87-9","plot","325833","UWOYT_2007_Kinston_HARRISON_17","1","1","1017","","","check","","","","","2","801.3533427907",""
"2007","4388","Uniform Winter Oat Yield Nursery","The Uniform Winter Oat Yield Nursery","3314","UWOYT_2007_Kinston","Uniform Winter Oat Yield Trial, , Very wet fall. Mild winter through mid-January then extended cold period. Freeze at early heading did not seem to impact oats as much as it did wheat. Overall, a very nice looking experiment. Grain yield was originally r","CRD","","","","no","no","2006-October-25","2007-June-02","85","Kinston, NC","99142","HORIZON201","FL99201-D29-E1,Horizon 201,TX96M1384","plot","325824","UWOYT_2007_Kinston_HORIZON201_23","1","1","1023","","","test","","","","","3.5","826.60233313953",""
"2007","4388","Uniform Winter Oat Yield Nursery","The Uniform Winter Oat Yield Nursery","3314","UWOYT_2007_Kinston","Uniform Winter Oat Yield Trial, , Very wet fall. Mild winter through mid-January then extended cold period. Freeze at early heading did not seem to impact oats as much as it did wheat. Overall, a very nice looking experiment. Grain yield was originally r","CRD","","","","no","no","2006-October-25","2007-June-02","85","Kinston, NC","102647","HORIZON321","FL9708-P37,Horizon 321","plot","325816","UWOYT_2007_Kinston_HORIZON321_22","1","1","1022","","","check","","","","","6","795.75781848837",""
"2007","4388","Uniform Winter Oat Yield Nursery","The Uniform Winter Oat Yield Nursery","3314","UWOYT_2007_Kinston","Uniform Winter Oat Yield Trial, , Very wet fall. Mild winter through mid-January then extended cold period. Freeze at early heading did not seem to impact oats as much as it did wheat. Overall, a very nice looking experiment. Grain yield was originally r","CRD","","","","no","no","2006-October-25","2007-June-02","85","Kinston, NC","85428","LA02030-S-B-5-S2","LA02030-S-B-5-S-2","plot","325834","UWOYT_2007_Kinston_LA02030-S-B-5-S2_8","1","1","1008","","","test","","","","","5","700.03705813954",""
"2007","4388","Uniform Winter Oat Yield Nursery","The Uniform Winter Oat Yield Nursery","3314","UWOYT_2007_Kinston","Uniform Winter Oat Yield Trial, , Very wet fall. Mild winter through mid-January then extended cold period. Freeze at early heading did not seem to impact oats as much as it did wheat. Overall, a very nice looking experiment. Grain yield was originally r","CRD","","","","no","no","2006-October-25","2007-June-02","85","Kinston, NC","84941","LA99016SBSB-98-S","","plot","325837","UWOYT_2007_Kinston_LA99016SBSB-98-S_6","1","1","1006","","","test","","","","","5.5","700.96959104651",""
