"plot_name","subplot_name","subplot_number","row_number","col_number","plot.subplot","crop_2","biomass_timepoint","biomass_T1","biomass_T2","biomass_T3"
"CU_ARS_2026_WOP_031","CU_ARS_2026_WOP_031_subplot_1",1,2,10,"031.1","oat-pea",1,1,NA,NA
"CU_ARS_2026_WOP_031","CU_ARS_2026_WOP_031_subplot_2",2,2,10,"031.2","oat-pea",2,NA,1,NA
"CU_ARS_2026_WOP_031","CU_ARS_2026_WOP_031_subplot_3",3,2,10,"031.3","oat-pea",3,NA,NA,1
"CU_ARS_2026_WOP_049","CU_ARS_2026_WOP_049_subplot_1",1,3,9,"049.1","oat-pea",3,NA,NA,1
"CU_ARS_2026_WOP_049","CU_ARS_2026_WOP_049_subplot_2",2,3,9,"049.2","oat-pea",2,NA,1,NA
"CU_ARS_2026_WOP_049","CU_ARS_2026_WOP_049_subplot_3",3,3,9,"049.3","oat-pea",1,1,NA,NA
"CU_ARS_2026_WOP_062","CU_ARS_2026_WOP_062_subplot_1",1,4,19,"062.1","oat-pea",3,NA,NA,1
"CU_ARS_2026_WOP_062","CU_ARS_2026_WOP_062_subplot_2",2,4,19,"062.2","oat-pea",1,1,NA,NA
"CU_ARS_2026_WOP_062","CU_ARS_2026_WOP_062_subplot_3",3,4,19,"062.3","oat-pea",2,NA,1,NA
"CU_ARS_2026_WOP_090","CU_ARS_2026_WOP_090_subplot_1",1,5,10,"090.1","pea",2,NA,1,NA
"CU_ARS_2026_WOP_090","CU_ARS_2026_WOP_090_subplot_2",2,5,10,"090.2","pea",3,NA,NA,1
"CU_ARS_2026_WOP_090","CU_ARS_2026_WOP_090_subplot_3",3,5,10,"090.3","pea",1,1,NA,NA
"CU_ARS_2026_WOP_107","CU_ARS_2026_WOP_107_subplot_1",1,6,14,"107.1","oat-pea",3,NA,NA,1
"CU_ARS_2026_WOP_107","CU_ARS_2026_WOP_107_subplot_2",2,6,14,"107.2","oat-pea",2,NA,1,NA
"CU_ARS_2026_WOP_107","CU_ARS_2026_WOP_107_subplot_3",3,6,14,"107.3","oat-pea",1,1,NA,NA
