"Genotype","damage_BLUPs","grain_y_BLUPs","pea_y_BLUPs","EV_damage","EV_grain_y","EV_pea_y","SI","SI_damage","SI_grain_y","SI_pea_y","PrEfAsEf"
"NC20-4526",-0.234105353552515,36.4734605524253,-5.80983303990922,-11.95,1,0.5,36.3661030074232,2.79755897495255,36.4734605524253,-2.90491651995461,30.6636275125161
"Gerard 227",-0.0653856750655973,34.0939392078909,0.894049860831461,-11.95,1,0.5,35.3223229553405,0.781358817033888,34.0939392078909,0.44702493041573,34.9879890687223
"NC20-4551",-0.2900013989041,37.5626028882105,-15.1491734528264,-11.95,1,0.5,33.4535328787013,3.465516716904,37.5626028882105,-7.57458672641318,22.4134294353841
"PA7617-3460",-2.50219602136944,0.131858936361634,-0.694836540244825,-11.95,1,0.5,29.6856831216041,29.9012424553648,0.131858936361634,-0.347418270122412,-0.562977603883191
"NF13-4126-4_3",-1.13875300166769,11.7842270153807,8.0403779821062,-11.95,1,0.5,29.4125143763626,13.6080983699288,11.7842270153807,4.0201889910531,19.8246049974869
"NC21-6610",-1.4886445673568,15.8317712174996,-11.8501591829646,-11.95,1,0.5,27.6959942059311,17.7893025799138,15.8317712174996,-5.92507959148231,3.98161203453496
"NC21-6492",-1.13709217164852,7.93246565706853,5.04942309882263,-11.95,1,0.5,24.0454286576797,13.5882514511999,7.93246565706853,2.52471154941132,12.9818887558912
"NC20-4452",-0.489772198109926,22.108248897247,-9.01687141658023,-11.95,1,0.5,23.4525909563705,5.85277776741361,22.108248897247,-4.50843570829012,13.0913774806668
"NC21-6429",0.527566914293562,17.6031618524319,10.4644973612614,-11.95,1,0.5,16.5309859072545,-6.30442462580806,17.6031618524319,5.23224868063071,28.0676592136933
"Horizon 578",-0.743394978183017,6.84873529202736,1.55393042221967,-11.95,1,0.5,16.5092704924242,8.88356998928705,6.84873529202736,0.776965211109836,8.40266571424703
"NF12AS-108-4_1",-0.0358423560235932,16.980855349858,-3.8202464155236,-11.95,1,0.5,15.4990482965781,0.428316154481939,16.980855349858,-1.9101232077618,13.1606089343344
"LA99016",0.325178088891616,20.4227631500847,-2.24107755838223,-11.95,1,0.5,15.4163462086387,-3.88587816225481,20.4227631500847,-1.12053877919112,18.1816855917024
"NC21-6609",-0.603351720823259,7.80950412493193,-0.407796127375099,-11.95,1,0.5,14.8156591250823,7.21005306383795,7.80950412493193,-0.20389806368755,7.40170799755683
"NF01404A",-0.429877172370026,10.8070631275867,-2.36532729541718,-11.95,1,0.5,14.7614316896999,5.13703220982181,10.8070631275867,-1.18266364770859,8.44173583216953
"AURORA",-0.687826429557682,4.58112942111839,3.8145779319122,-11.95,1,0.5,14.7079442202888,8.21952583321429,4.58112942111839,1.9072889659561,8.39570735303059
"NC20-4700",0.0719176789095865,14.8452470168634,0.940231045570325,-11.95,1,0.5,14.455946276679,-0.859416262969559,14.8452470168634,0.470115522785163,15.7854780624338
"TX18OCS9125",0.409897533603801,16.0881143779324,5.35759909742754,-11.95,1,0.5,13.8686384000807,-4.89827552656542,16.0881143779324,2.67879954871377,21.4457134753599
"NC19-3542",0.760061059906006,26.7175212123144,-8.3389963066019,-11.95,1,0.5,13.4652933931367,-9.08272966587677,26.7175212123144,-4.16949815330095,18.3785249057125
"NC21-6511",0.0672234508869516,12.815375874332,2.60399287976851,-11.95,1,0.5,13.3140520761172,-0.803320238099071,12.815375874332,1.30199643988425,15.4193687541005
"NF99414-1",0.021801784415048,6.30064582359872,12.1169382493521,-11.95,1,0.5,12.0985836245149,-0.260531323759824,6.30064582359872,6.05846912467604,18.4175840729508
