,seedlot_name,g_oat_per_accession,nPlots,entry
1,AURORA-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_24,162,4,1
2,FL16504-35_2026_UWON_Entry_15,162,4,2
3,FL16507-28_2026_UWON_Entry_16,162,4,3
4,FL16531-59_2026_UWON_Entry_17,162,4,4
5,FL17539-25_2026_UWON_Entry_11,162,4,5
6,FL17539-27_2026_UWON_Entry_12,162,4,6
7,FL17542-21_2026_UWON_Entry_13,162,4,7
8,FL17556-1_2026_UWON_Entry_14,162,4,8
9,FLLA11019-8_2026_UWON_Entry_04,162,4,9
10,FLLA17088-61-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_339,162,4,10
11,FLLA17088-77-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_48,162,4,11
12,GERARD224-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_218,162,4,12
13,Gerard 227-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_250,162,4,13
14,HARRISON-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_56,162,4,14
15,HORIZON201-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_199,162,4,15
16,Horizon578_2026_UWON_Entry_05,162,4,16
17,Juggernaut_2026_UWON_Entry_02,162,4,17
18,LA05011GSBSBSB-11-CU_2025_Ithaca_SOAP_HR-bulk,162,4,18
19,LA17069SBSS-2-1-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_244,162,4,19
20,LA17129SBSS-8-1-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_165,162,4,20
21,LA17153SBSS-46-1-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_118,162,4,21
22,LA18034SSB-7-1_2026_UWON_Entry_18,162,4,22
23,LA18155SSB-20-2_2026_UWON_Entry_19,162,4,23
24,LA20050SBSB-1-1_2026_UWON_Entry_20,162,4,24
25,LA20053SBSB-27-1_2026_UWON_Entry_22,162,4,25
26,LA20053SBSB-27-2_2026_UWON_Entry_21,162,4,26
27,LA99016_2026_UWON_Entry_01,162,4,27
28,LA99017-CU_2025_Ithaca_SOAP_HR-bulk,81,2,28
29,M-311-CU_2025_Ithaca_WOF_HR_bulk,81,2,29
30,NC09-4274N_LEX25-Nuda-AT_Plot_1204,162,4,30
31,NC09-4503N_LEX25_Nuda_AT_Plot_1201,162,4,31
32,NC12-3578-CU_2025_Ithaca_SOAP_HR-bulk,162,4,32
33,NC14-1533-CU_2025_Ithaca_SOAP_HR-bulk,81,2,33
34,NC14-1543-CU_2025_Ithaca_SOAP_HR-bulk,81,2,34
35,NC14-1554-CU_2025_Ithaca_SOAP_HR-bulk,162,4,35
36,NC14-1619-CU_2025_Ithaca_SOAP_HR-bulk,81,2,36
37,NC14-1820-CU_2025_Ithaca_SOAP_HR-bulk,162,4,37
38,NC14-1965-CU_2025_Ithaca_SOAP_HR-bulk,162,4,38
39,NC14-1985-CU_2025_Ithaca_SOAP_HR-bulk,81,2,39
40,NC14-1989-CU_2025_Ithaca_SOAP_HR-bulk,162,4,40
41,NC17-6440-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_306,162,4,41
42,NC18-5877N_LEX25_Nuda_AT_Plot_1205,162,4,42
43,NC19-3542-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_261,162,4,43
44,NC20-4402-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_142,162,4,44
45,NC20-4452-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_98,162,4,45
46,NC20-4526-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_32,162,4,46
47,NC20-4551-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_50,162,4,47
48,NC20-4700-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_364,162,4,48
49,NC20-4702-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_192,162,4,49
50,NC21-6357N_LEX25_Nuda_AT_Plot_1202,162,4,50
51,NC21-6359N_LEX25_Nuda_AT_Plot_1203,162,4,51
52,NC21-6429-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_16,162,4,52
53,NC21-6475-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_77,162,4,53
54,NC21-6492-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_128,526.5,13,54
55,NC21-6497-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_65,162,4,55
56,NC21-6511-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_367,162,4,56
57,NC21-6576-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_85,162,4,57
58,NC21-6610-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_99,162,4,58
