"p1","p2","SI.x","SI.y","cross_SI","cross","GRM_Value","SI_GRM"
"PA7617-3460","NC20-4526",29.6856831216041,36.3661030074232,66.0517861290273,"PA7617-3460 X NC20-4526",-0.329621691792387,69.3480030469512
"PA7617-3460","Gerard 227",29.6856831216041,35.3223229553405,65.0080060769445,"PA7617-3460 X Gerard 227",-0.327254738200492,68.2805534589495
"NF13-4126-4_3","Gerard 227",29.4125143763626,35.3223229553405,64.7348373317031,"NF13-4126-4_3 X Gerard 227",-0.261979105557389,67.354628387277
"NF13-4126-4_3","NC20-4526",29.4125143763626,36.3661030074232,65.7786173837859,"NF13-4126-4_3 X NC20-4526",-0.145221262945883,67.2308300132447
"NC20-4551","Gerard 227",33.4535328787013,35.3223229553405,68.7758558340418,"NC20-4551 X Gerard 227",0.268443785912857,66.0914179749132
"NC20-4551","NC20-4526",33.4535328787013,36.3661030074232,69.8196358861245,"NC20-4551 X NC20-4526",0.422049455823654,65.599141327888
"PA7617-3460","NC20-4551",29.6856831216041,33.4535328787013,63.1392160003054,"PA7617-3460 X NC20-4551",-0.232677315284493,65.4659891531503
"NF13-4126-4_3","NC20-4551",29.4125143763626,33.4535328787013,62.8660472550639,"NF13-4126-4_3 X NC20-4551",-0.0767500606908392,63.6335478619723
"Gerard 227","NC20-4526",35.3223229553405,36.3661030074232,71.6884259627637,"Gerard 227 X NC20-4526",0.973369488348495,61.9547310792788
"NC21-6610","NC20-4526",27.6959942059311,36.3661030074232,64.0620972133543,"NC21-6610 X NC20-4526",0.224357614835583,61.8185210649985
"NC21-6610","Gerard 227",27.6959942059311,35.3223229553405,63.0183171612715,"NC21-6610 X Gerard 227",0.1724057118084,61.2942600431875
"NC21-6610","NC20-4551",27.6959942059311,33.4535328787013,61.1495270846324,"NC21-6610 X NC20-4551",0.314800790257663,58.0015191820557
"NC21-6610","PA7617-3460",27.6959942059311,29.6856831216041,57.3816773275351,"NC21-6610 X PA7617-3460",-0.0610927693122716,57.9926050206578
"NC21-6610","NF13-4126-4_3",27.6959942059311,29.4125143763626,57.1085085822937,"NC21-6610 X NF13-4126-4_3",-0.0489745149388275,57.5982537316819
"NC21-6492","NF13-4126-4_3",24.0454286576797,29.4125143763626,53.4579430340423,"NC21-6492 X NF13-4126-4_3",-0.339831878229145,56.8562618163338
"NC21-6492","PA7617-3460",24.0454286576797,29.6856831216041,53.7311117792838,"NC21-6492 X PA7617-3460",-0.278328250241363,56.5143942816974
"NC21-6492","NC20-4526",24.0454286576797,36.3661030074232,60.4115316651029,"NC21-6492 X NC20-4526",0.389784878885994,56.513682876243
