"","accession_name","entry"
"1","AURORA",1
"2","FL16504-35",2
"3","FL16507-28",3
"4","FL16531-59",4
"5","FL17539-25",5
"6","FL17539-27",6
"7","FL17542-21",7
"8","FL17556-1",8
"9","FLLA11019-8",9
"10","FLLA17088-61",10
"11","FLLA17088-77",11
"12","GERARD224",12
"13","Gerard 227",13
"14","HARRISON",14
"15","HORIZON201",15
"16","Horizon 578",16
"17","Juggernaut",17
"18","LA05011GSBSBSB-11",18
"19","LA17069SBSS-2-1",19
"20","LA17129SBSS-8-1",20
"21","LA17153SBSS-46-1",21
"22","LA18034SSB-7-1",22
"23","LA18155SSB-20-2",23
"24","LA20050SBSB-1-1",24
"25","LA20053SBSB-27-1",25
"26","LA20053SBSB-27-2",26
"27","LA99016",27
"28","LA99017",28
"29","M-311",29
"30","NC09-4274N",30
"31","NC09-4503N",31
"32","NC12-3578",32
"33","NC14-1533",33
"34","NC14-1543",34
"35","NC14-1554",35
"36","NC14-1619",36
"37","NC14-1820",37
"38","NC14-1965",38
"39","NC14-1985",39
"40","NC14-1989",40
"41","NC17-6440",41
"42","NC18-5877N",42
"43","NC19-3542",43
"44","NC20-4402",44
"45","NC20-4452",45
"46","NC20-4526",46
"47","NC20-4551",47
"48","NC20-4700",48
"49","NC20-4702",49
"50","NC21-6357N",50
"51","NC21-6359N",51
"52","NC21-6429",52
"53","NC21-6475",53
"54","NC21-6492",54
"55","NC21-6497",55
"56","NC21-6511",56
"57","NC21-6576",57
"58","NC21-6610",58
"59","NF01404A",59
"60","NF12AS-100-4_2",60
"61","NF12AS-107-4_2-1",61
"62","NF12AS-107-4_4",62
"63","NF12AS-108-4_1",63
"64","NF12AS-73-4_3",64
"65","NF13-4083-4_6",65
"66","NF13-4126-4_3",66
"67","NF13-4157-4_2",67
"68","NF13-4173-4_5",68
"69","NF13-4214-4_1",69
"70","NF13-4214-4_5",70
"71","NF99414-1",71
"72","NF99414",72
"73","NORA",73
"74","OKAY",74
"75","OZARK|POGI",75
"76","PA7617-3460",76
"77","PA7617-3658",77
"78","PA8014-840",78
"79","SCLA17030SBSS-57-1",79
"80","SCLA17080SBS-4-2",80
"81","SCLA17110SBSS-16-1",81
"82","SCLA18059SSB-33-2",82
"83","SCLA18073SSB-36-1",83
"84","SCLA18110SSB-44-2",84
"85","Savage",85
"86","TX18OCS9028",86
"87","TX18OCS9061",87
"88","TX18OCS9104",88
"89","TX18OCS9125",89
"90","TX19CAS0057",90
"91","TX20CAS1071",91
"92","TX21CAS2064",92
"93","WINTOK",93
