source,plotNo,oatName,peaName
entry 93,334,WINTOK,BLAZE
entry 93,333,WINTOK,NA
entry 92,214,TX21CAS2064,NA
entry 92,213,TX21CAS2064,BLAZE
entry 92,12,TX21CAS2064,NA
entry 92,11,TX21CAS2064,BLAZE
entry 91,245,TX20CAS1071,BLAZE
entry 91,244,TX20CAS1071,NA
entry 91,141,TX20CAS1071,NA
entry 91,140,TX20CAS1071,BLAZE
entry 90,150,TX19CAS0057,BLAZE
entry 90,149,TX19CAS0057,NA
entry 90,94,TX19CAS0057,NA
entry 90,93,TX19CAS0057,BLAZE
entry 89,227,TX18OCS9125,BLAZE
entry 89,226,TX18OCS9125,NA
entry 89,189,TX18OCS9125,BLAZE
entry 89,188,TX18OCS9125,NA
entry 88,319,TX18OCS9104,NA
entry 88,318,TX18OCS9104,BLAZE
entry 88,106,TX18OCS9104,NA
entry 88,105,TX18OCS9104,BLAZE
entry 87,255,TX18OCS9061,BLAZE
entry 87,254,TX18OCS9061,NA
entry 87,78,TX18OCS9061,NA
entry 87,77,TX18OCS9061,BLAZE
entry 86,330,TX18OCS9028,BLAZE
entry 86,329,TX18OCS9028,NA
entry 86,179,TX18OCS9028,BLAZE
entry 86,178,TX18OCS9028,NA
entry 85,350,Savage,NA
entry 85,349,Savage,BLAZE
entry 85,20,Savage,NA
entry 85,19,Savage,BLAZE
entry 84,373,SCLA18110SSB-44-2,BLAZE
entry 84,372,SCLA18110SSB-44-2,NA
entry 84,229,SCLA18110SSB-44-2,BLAZE
entry 84,228,SCLA18110SSB-44-2,NA
entry 83,261,SCLA18073SSB-36-1,BLAZE
entry 83,260,SCLA18073SSB-36-1,NA
entry 83,187,SCLA18073SSB-36-1,NA
entry 83,186,SCLA18073SSB-36-1,BLAZE
entry 82,326,SCLA18059SSB-33-2,NA
entry 82,325,SCLA18059SSB-33-2,BLAZE
entry 82,296,SCLA18059SSB-33-2,BLAZE
entry 82,295,SCLA18059SSB-33-2,NA
entry 81,378,SCLA17110SBSS-16-1,BLAZE
entry 81,377,SCLA17110SBSS-16-1,NA
entry 81,346,SCLA17110SBSS-16-1,NA
entry 81,345,SCLA17110SBSS-16-1,BLAZE
entry 80,207,SCLA17080SBS-4-2,BLAZE
entry 80,206,SCLA17080SBS-4-2,NA
entry 80,154,SCLA17080SBS-4-2,NA
entry 80,153,SCLA17080SBS-4-2,BLAZE
entry 79,362,SCLA17030SBSS-57-1,BLAZE
entry 79,361,SCLA17030SBSS-57-1,NA
entry 79,163,SCLA17030SBSS-57-1,NA
entry 79,162,SCLA17030SBSS-57-1,BLAZE
entry 78,183,PA8014-840,NA
entry 78,182,PA8014-840,BLAZE
entry 77,398,PA7617-3658,BLAZE
entry 77,397,PA7617-3658,NA
entry 77,323,PA7617-3658,BLAZE
entry 77,284,PA7617-3658,BLAZE
entry 77,190,PA7617-3658,BLAZE
entry 77,107,PA7617-3658,BLAZE
entry 77,66,PA7617-3658,NA
entry 77,65,PA7617-3658,BLAZE
entry 77,49,PA7617-3658,BLAZE
entry 76,364,PA7617-3460,NA
entry 76,363,PA7617-3460,BLAZE
entry 76,133,PA7617-3460,BLAZE
entry 76,132,PA7617-3460,NA
entry 75,369,OZARK|POGI,BLAZE
entry 75,305,OZARK|POGI,BLAZE
entry 75,300,OZARK|POGI,NA
entry 75,299,OZARK|POGI,BLAZE
entry 75,219,OZARK|POGI,BLAZE
