,plotNo,pairNo,nPlots,block,accession_name,intercrop,category,seedlot_name,crop,crop_2,intercrop_accession_name,X,entry
1,1,1,4,Block1,LA05011GSBSBSB-11,intercrop,SOAP_selection,LA05011GSBSBSB-11-CU_2025_Ithaca_SOAP_HR-bulk,Oat,oat-pea,BLAZE,18,18
2,2,1,4,Block1,LA05011GSBSBSB-11,monocrop,SOAP_selection,LA05011GSBSBSB-11-CU_2025_Ithaca_SOAP_HR-bulk,Oat,oat,NA,18,18
3,3,2,4,Block1,NC19-3542,monocrop,WOP_Mirza_selection,NC19-3542-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_261,Oat,oat,NA,43,43
4,4,2,4,Block1,NC19-3542,intercrop,WOP_Mirza_selection,NC19-3542-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_261,Oat,oat-pea,BLAZE,43,43
5,5,3,4,Block1,NF13-4214-4_1,intercrop,WOP_Mirza_selection,NF13-4214-4_1-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_156,Oat,oat-pea,BLAZE,69,69
6,6,3,4,Block1,NF13-4214-4_1,monocrop,WOP_Mirza_selection,NF13-4214-4_1-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_156,Oat,oat,NA,69,69
7,7,4,4,Block1,NC14-1820,monocrop,SOAP_selection,NC14-1820-CU_2025_Ithaca_SOAP_HR-bulk,Oat,oat,NA,37,37
8,8,4,4,Block1,NC14-1820,intercrop,SOAP_selection,NC14-1820-CU_2025_Ithaca_SOAP_HR-bulk,Oat,oat-pea,BLAZE,37,37
9,9,5,4,Block1,HARRISON,intercrop,WOP_Mirza_selection,HARRISON-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_56,Oat,oat-pea,BLAZE,14,14
10,10,5,4,Block1,HARRISON,monocrop,WOP_Mirza_selection,HARRISON-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_56,Oat,oat,NA,14,14
11,11,6,4,Block1,TX21CAS2064,intercrop,UWON,TX21CAS2064_2026_UWON_Entry_09,Oat,oat-pea,BLAZE,92,92
12,12,6,4,Block1,TX21CAS2064,monocrop,UWON,TX21CAS2064_2026_UWON_Entry_09,Oat,oat,NA,92,92
13,13,7,4,Block1,NF13-4157-4_2,monocrop,WOP_Mirza_selection,NF13-4157-4_2-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_81,Oat,oat,NA,67,67
14,14,7,4,Block1,NF13-4157-4_2,intercrop,WOP_Mirza_selection,NF13-4157-4_2-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_81,Oat,oat-pea,BLAZE,67,67
15,15,8,4,Block1,FL16507-28,monocrop,UWON,FL16507-28_2026_UWON_Entry_16,Oat,oat,NA,3,3
16,16,8,4,Block1,FL16507-28,intercrop,UWON,FL16507-28_2026_UWON_Entry_16,Oat,oat-pea,BLAZE,3,3
17,17,9,4,Block1,FL16504-35,intercrop,UWON,FL16504-35_2026_UWON_Entry_15,Oat,oat-pea,BLAZE,2,2
18,18,9,4,Block1,FL16504-35,monocrop,UWON,FL16504-35_2026_UWON_Entry_15,Oat,oat,NA,2,2
19,19,10,4,Block1,Savage,intercrop,UWON,Savage_2026_UWON_Entry_03,Oat,oat-pea,BLAZE,85,85
20,20,10,4,Block1,Savage,monocrop,UWON,Savage_2026_UWON_Entry_03,Oat,oat,NA,85,85
21,21,11,4,Block1,NF13-4173-4_5,monocrop,WOP_Mirza_selection,NF13-4173-4_5-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_116,Oat,oat,NA,68,68
22,22,11,4,Block1,NF13-4173-4_5,intercrop,WOP_Mirza_selection,NF13-4173-4_5-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_116,Oat,oat-pea,BLAZE,68,68
23,23,12,4,Block1,NC21-6610,monocrop,WOP_Mirza_selection,NC21-6610-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_99,Oat,oat,NA,58,58
24,24,12,4,Block1,NC21-6610,intercrop,WOP_Mirza_selection,NC21-6610-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_99,Oat,oat-pea,BLAZE,58,58
