box_id,seed_id,inventory_date,inventory_person,weight_gram
WOP_2026_selections,NC21-6492-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_128,2025-11-17,Peter,86.5
WOP_2026_selections,PA7617-3658-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_54,2025-11-17,Peter,110.2
WOP_2026_selections,NF12AS-73-4_3-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_242,2025-11-17,Peter,134
WOP_2026_selections,OZARK|POGI-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_204,2025-11-17,Peter,163.6
WOP_2026_selections,NF13-4083-4_6-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_83,2025-11-17,Peter,337.7
WOP_2026_selections,NF13-4214-4_5-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_169,2025-11-17,Peter,341.7
WOP_2026_selections,NF99414-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_378,2025-11-17,Peter,364.3
WOP_2026_selections,PA7617-3460-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_212,2025-11-17,Peter,425.7
WOP_2026_selections,LA17153SBSS-46-1-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_118,2025-11-17,Peter,433
WOP_2026_not_selected,Clav 7618-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_123,2025-11-17,Peter,436
WOP_2026_selections,NC21-6576-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_85,2025-11-17,Peter,478.9
WOP_2026_selections,NC20-4551-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_50,2025-11-17,Peter,489.8
WOP_2026_selections,FLLA17088-61-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_339,2025-11-17,Peter,499.4
WOP_2026_not_selected,FLLA17069-54-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_102,2025-11-17,Peter,505
WOP_2026_selections,NORA-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_133,2025-11-17,Peter,509.5
WOP_2026_selections,NF12AS-108-4_1-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_161,2025-11-17,Peter,535.4
WOP_2026_selections,AURORA-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_24,2025-11-17,Peter,539.5
WOP_2026_selections,PA7617-3658-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_53,2025-11-17,Peter,542
WOP_2026_selections,NC20-4700-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_364,2025-11-17,Peter,555.2
WOP_2026_selections,HARRISON-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_56,2025-11-17,Peter,556.2
WOP_2026_not_selected,NF05424_2-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_25,2025-11-17,Peter,558
WOP_2026_selections,NC21-6475-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_77,2025-11-17,Peter,558.2
WOP_2026_selections,NF12AS-107-4_2-1-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_258,2025-11-17,Peter,568.1
WOP_2026_selections,NC17-6440-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_306,2025-11-17,Peter,570.7
WOP_2026_selections,NC20-4402-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_142,2025-11-17,Peter,574
WOP_2026_selections,NF99414-1-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_174,2025-11-17,Peter,580.7
WOP_2026_not_selected,Clav 6982-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_235,2025-11-17,Peter,585
WOP_2026_not_selected,NF13-4124-4_3-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_62,2025-11-17,Peter,587
WOP_2026_selections,NF13-4126-4_3-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_145,2025-11-17,Peter,596.2
WOP_2026_selections,HORIZON201-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_199,2025-11-17,Peter,600.3
WOP_2026_selections,NC21-6511-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_367,2025-11-17,Peter,604.8
WOP_2026_selections,LA17129SBSS-8-1-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_165,2025-11-17,Peter,608.5
WOP_2026_selections,NF13-4173-4_5-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_116,2025-11-17,Peter,611.1
WOP_2026_selections,NF13-4214-4_1-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_156,2025-11-17,Peter,615.3
WOP_2026_selections,GERARD224-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_218,2025-11-17,Peter,617.1
WOP_2026_selections,NC21-6497-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_65,2025-11-17,Peter,620.7
WOP_2026_selections,NF13-4157-4_2-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_81,2025-11-17,Peter,628.7
WOP_2026_not_selected,NF12AS-122-4_4-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_153,2025-11-17,Peter,634
WOP_2026_selections,NF12AS-100-4_2-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_228,2025-11-17,Peter,634.7
WOP_2026_selections,NF01404A-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_160,2025-11-17,Peter,635.4
WOP_2026_not_selected,SCLA17018SBSS-45-1-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_309,2025-11-17,Peter,638
WOP_2026_not_selected,FLLA16083-25-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_351,2025-11-17,Peter,640
WOP_2026_selections,TX18OCS9125-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_10,2025-11-17,Peter,644.3
WOP_2026_not_selected,NF99401_1-1-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_95,2025-11-17,Peter,651
WOP_2026_selections,SCLA17080SBS-4-2-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_316,2025-11-17,Peter,651.4
WOP_2026_not_selected,NC21-6502-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_323,2025-11-17,Peter,666
WOP_2026_selections,NF12AS-73-4_3-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_241,2025-11-17,Peter,668
WOP_2026_selections,NC21-6610-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_99,2025-11-17,Peter,668.3
WOP_2026_not_selected,NF12AS-108-4_4-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_251,2025-11-17,Peter,669
WOP_2026_not_selected,NC21-6609-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_330,2025-11-17,Peter,669
WOP_2026_selections,NC20-4702-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_192,2025-11-17,Peter,669.7
WOP_2026_selections,LA17069SBSS-2-1-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_244,2025-11-17,Peter,682.6
WOP_2026_not_selected,NC18-5877N-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_175,2025-11-17,Peter,687
WOP_2026_selections,OZARK|POGI-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_203,2025-11-17,Peter,687
WOP_2026_not_selected,LA17153SBSS-55-1-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_299,2025-11-17,Peter,693
WOP_2026_selections,OKAY-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_14,2025-11-17,Peter,695.9
WOP_2026_not_selected,FLLA17069-65-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_113,2025-11-17,Peter,696
WOP_2026_selections,FLLA17088-77-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_48,2025-11-17,Peter,704
WOP_2026_selections,NC19-3542-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_261,2025-11-17,Peter,704.6
WOP_2026_selections,NC21-6429-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_16,2025-11-17,Peter,707.9
WOP_2026_not_selected,Horizon 578-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_282,2025-11-17,Peter,710
WOP_2026_selections,NC21-6492-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_127,2025-11-17,Peter,711
WOP_2026_not_selected,FLLA11019-8-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_356,2025-11-17,Peter,714
WOP_2026_not_selected,NC21-6505-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_63,2025-11-17,Peter,725
WOP_2026_not_selected,NF13-4173-4_6-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_272,2025-11-17,Peter,728
WOP_2026_not_selected,NF13-4153-4_2-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_167,2025-11-17,Peter,732
WOP_2026_not_selected,Juggernaut-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_327,2025-11-17,Peter,732
WOP_2026_not_selected,Clav 4476-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_240,2025-11-17,Peter,733
WOP_2026_selections,PA7617-3658-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_202,2025-11-17,Peter,733
WOP_2026_not_selected,NC20-4795-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_348,2025-11-17,Peter,739
WOP_2026_not_selected,TX18OCS9100-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_267,2025-11-17,Peter,744
WOP_2026_not_selected,NF401_1-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_260,2025-11-17,Peter,748
WOP_2026_not_selected,NF13-4173-4_4-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_370,2025-11-17,Peter,749
WOP_2026_not_selected,NF13-4124-4_8-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_151,2025-11-17,Peter,760
WOP_2026_not_selected,NF502_5-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_3,2025-11-17,Peter,762
WOP_2026_not_selected,LA15015SB-S50-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_89,2025-11-17,Peter,763
WOP_2026_not_selected,NC09-4503N-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_149,2025-11-17,Peter,764
WOP_2026_selections,TX18OCS9104-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_37,2025-11-17,Peter,766.4
WOP_2026_not_selected,NF12AS-122-4_3-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_147,2025-11-17,Peter,767
WOP_2026_not_selected,NF00407-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_216,2025-11-17,Peter,769
WOP_2026_selections,PA7617-3658-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_201,2025-11-17,Peter,772
WOP_2026_not_selected,NF97405-1-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_296,2025-11-17,Peter,776
WOP_2026_not_selected,NF97405B2-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_371,2025-11-17,Peter,777
WOP_2026_not_selected,FLLA17069-53-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_34,2025-11-17,Peter,789
WOP_2026_selections,NF12AS-107-4_4-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_359,2025-11-17,Peter,792.8
WOP_2026_not_selected,Savage-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_43,2025-11-17,Peter,797
WOP_2026_not_selected,LA17075SBSS-29-1-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_294,2025-11-17,Peter,798
WOP_2026_not_selected,NF01401B-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_270,2025-11-17,Peter,799
WOP_2026_not_selected,NF12AS-91-4_1-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_22,2025-11-17,Peter,815
WOP_2026_not_selected,LA08039SBSBS-56-A1-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_207,2025-11-17,Peter,823
WOP_2026_not_selected,TX19CAS0058-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_280,2025-11-17,Peter,838
